smiles,HOMO(eV),LUMO(eV),hole mobility,electron mobility,uC*,dimers1,DOI
O=C1/C(/C2C=CC(C3=C(F)C(F)=C([Cs])S3)=NC=2N1CCOCCOCCOCCOC)=C1/C(N(CCOCCOCCOCCOC)C2=NC([Fr])=CC=C2/1)=O,-5.73,-4.07,,4.90E-02,4.18,"['O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O','O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O']",https://doi.org/10.1021/acs.chemmater.2c02447
O=C1N(C(C2=CC=C([Fr])S2)=C2C(N(C(C3=CC=C(C4SC([Cs])=C5C=4C(N(C5=O)CCOCCOCCOC)=O)S3)=C21)CCOCCOCCOC)=O)CCOCCOCCOC,-5.2,-4.01,,1.10E-01,7.94,"['O=C1N(C)C(C2=CC=CS2)=C3C(N(C)C=C31)=O','O=C1N(C)C(C2=CC=CS2)=C3C(N(C)C=C31)=O','O=C(C1=CSC(C2=CC=CS2)=C13)N(C)C3=O','O=C(C1=CSC(C2=CC=CS2)=C13)N(C)C3=O']",https://doi.org/10.1002/aelm.202300026
O=C1C([Fr])c2cc3c(C(C(c4cc5c(C([Cs])C(O5)=O)cc4O6)C6=O)C(O3)=O)cc2O1,-4.86,-3.96,,1.01E+00,180,['O=C1cc(c(O1)c2)cc3c2c(C(O3)=O)c(C4=O)c(c(O4)c5)cc6c5cC(O6)=O'],https://doi.org/10.1038/s41586-022-05295-8
[H]C1=C(SC(C2=CC3=C(C4=C(C5=C(C6=C(C7=C(C(N(C6=O)CC(COCCOCCOC)COCCOCCOC)=O)C=C(S7)[Fr])S5)S4)C(N(C3=O)CC(COCCOCCOC)COCCOCCOC)=O)S2)=C1[H])[Cs],-5.35,-3.65,,4.40E-02,2.3,"['[H]C1=CSC(C2=CC3=C(C4=C(C5=C(C6=C(C7=C(C(N(C6=O)C)=O)C=CS7)S5)S4)C(N(C3=O)C)=O)S2)=C1[H]','[H]C1=CSC(C2=CC3=C(C4=C(C5=C(C6=C(C7=C(C(N(C6=O)C)=O)C=CS7)S5)S4)C(N(C3=O)C)=O)S2)=C1[H]']",https://doi.org/10.1002/ange.202109281
COCCOCCOCC(CN1C(C2=C(C3=C(C4=C(C5=C(C6=C(C(N(C5=O)CC(COCCOCCOC)COCCOCCOC)=O)C=C(S6)C7=C(C(F)=C(S7)[Cs])F)S4)S3)C1=O)SC([Fr])=C2)=O)COCCOCCOC,-5.59,-3.82,,3.40E-02,15.2,"['CN1C(C2=C(C3=C(C4=C(C5=C(C6=C(C(N(C5=O)C)=O)C=C(S6)C7=C(C(F)=CS7)F)S4)S3)C1=O)SC=C2)=O','CN1C(C2=C(C3=C(C4=C(C5=C(C6=C(C(N(C5=O)C)=O)C=C(S6)C7=C(C(F)=CS7)F)S4)S3)C1=O)SC=C2)=O']",https://doi.org/10.1002/ange.202109281
O=C1N(CCCC(COCCOCCOCCOC)COCCOCCOCCOC)C(C2=CC=C([Fr])S2)=C3C(N(CCCC(COCCOCCOCCOC)COCCOCCOCCOC)C(C4=CC=C(S4)C5=CC=C(S5)[Cs])=C31)=O,-4.86,-3.69,0.4,0.00E+00,65.1,"['C1(C2=CC=CS2)=CC=CS1','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1038/s41467-022-33553-w
O=C1N(CCCC(COCCOCCOCCOC)COCCOCCOCCOC)C(C2=CC=C([Fr])S2)=C3C(N(CCCC(COCCOCCOCCOC)COCCOCCOCCOC)C(C4=CC=C(S4)C5=C(F)C(F)=C([Cs])S5)=C31)=O,-5.2,-3.86,0,3.50E-01,54.8,"['FC(C(F)=CS1)=C1C2=CC=CS2','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','FC(C(F)=CS1)=C1C2=CC=CS2']",https://doi.org/10.1038/s41467-022-33553-w
COCCOCCOCCOCCCCCN(C1=C/2SC([Fr])=C1)C(C2=C(C3=C(N4CCCCCOCCOCCOCCOC)C=C(C5=CC=C(C6=NSN=C56)[Cs])S3)\C4=O)=O,-6,-3.02,,1.80E-03,0.15,"['CN(C(/C1=C(C2=O)\C3=C(C=C(S3)C4=CC=CC5=NSN=C45)N2C)=O)C6=C1SC=C6','CN(C(/C1=C(C2=O)\C3=C(C=C(S3)C4=CC=CC5=NSN=C45)N2C)=O)C6=C1SC=C6']",https://doi.org/10.1002/adma.202107829
O=C1/C(/C2C(=CC3/C(/C(OC=3C=2)=O)=C2\C(N(CCOCCOCCOCCOCCOCCOC)C3=CC([Fr])=CC=C3\2)=O)O1)=C1\C2C=CC(/C=C/[Cs])=CC=2N(CCOCCOCCOCCOCCOCCOC)C\1=O,-5.77,-4.27,,0.117,15.31,"['O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C7=C(N(C\6=O)C)C=C(C=C)C=C7','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C7=C(N(C\6=O)C)C=C(C=C)C=C7']",https://doi.org/10.1002/adfm.202304103
O=C1/C(/C2C(=CC3/C(/C(OC=3C=2)=O)=C2\C(N(CCOCCOCCOCCOCCOCCOC)C3=C(F)C([Fr])=CC=C3\2)=O)O1)=C1\C2C=CC(/C=C/[Cs])=C(F)C=2N(CCOCCOCCOCCOCCOCCOC)C\1=O,-6.12,-4.45,,0.912,111.52,"['O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=C(C=CC=C5\4)F)C)=O)C=C2O1)=C6C7=C(N(C\6=O)C)C(F)=C(C=C)C=C7','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=C(C=CC=C5\4)F)C)=O)C=C2O1)=C6C7=C(N(C\6=O)C)C(F)=C(C=C)C=C7']",https://doi.org/10.1002/adfm.202304103
O=C1C2=C3C4=C(C(N(CCCCCCOCCOCCOCCOC)C(C4=CC(=C3C(=O)N1CCCCCCOCCOCCOCCOC)C1=CC=C([Cs])S1)=O)=O)C([Fr])=C2,-5.83,-4.18,,5.68E-03,2.31,"['O=C1C2=C3C4=C(C=C2)C(N(C(C4=CC(C5=CC=CS5)=C3C(N1C)=O)=O)C)=O','O=C1C2=C3C4=C(C=C2)C(N(C(C4=CC(C5=CC=CS5)=C3C(N1C)=O)=O)C)=O']",https://doi.org/10.1038/s41467-022-35573-y
O(CCOCCOCCOC)C1C=C([Cs])C(=CC=1C1SC(C2=CC=C([Fr])S2)=CC=1)OCCOCCOCCOC,-4.63,-2.32,1.80E-01,,29,"['C1(C2=CC=CS2)=CC=CS1','COC1=C(C2=CC=CS2)C=C(OC)C=C1','COC1=C(C2=CC=CS2)C=C(OC)C=C1']",https://doi.org/10.1021/jacs.9b12769
