smiles,HOMO(eV),LUMO(eV),hole mobility,electron mobility,uC*,dimers1,DOI
O=C1N(C(C2=CC=C([Fr])S2)=C2C1=C(N(C2=O)CCOCCOCCOC)C1=CC=C(C2SC(=CC=2CCCCCCCCCCCC)C2=CC(CCCCCCCCCCCC)=C([Cs])S2)S1)CCOCCOCCOC,-5.11,-3.8,0.044,,1.08,"['O=C1N(C)C(C2=CC=CS2)=C3C1=CN(C)C3=O','O=C1N(C)C(C2=CC=CS2)=C3C1=CN(C)C3=O','CC1=C(SC=C1)C2=CC=CS2','CC1=CSC(C2=CC(C)=CS2)=C1','CC1=C(SC=C1)C2=CC=CS2']",https://doi.org/10.1039/D1TC00338K
O=C1/C(/C2C=CC(C3=CC=C([Cs])S3)=CC=2N1CCCCCOCCOCCOCCOC)=C1/C(N(CCCCCOCCOCCOCCOC)C2=CC([Fr])=CC=C2/1)=O,-5.66,-2.75,3.20E-03,,0.23,"['O=C1/C(C2=C(N1C)C=C(C3=CC=CS3)C=C2)=C4C(N(C5=CC=CC=C5/4)C)=O','O=C1/C(C2=C(N1C)C=C(C3=CC=CS3)C=C2)=C4C(N(C5=CC=CC=C5/4)C)=O']",https://doi.org/10.1002/adma.202107829
O=C1/C(/C2C=CC(C3=CC=C([Cs])S3)=NC=2N1CCCCCOCCOCCOCCOC)=C1/C(N(CCCCCOCCOCCOCCOC)C2=NC([Fr])=CC=C2/1)=O,-4.92,-2.8,1.3,,158,"['O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O','O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O']",https://doi.org/10.1002/adma.202107829
O=C1/C(C2=C(N1CCCCCOCCOCCOCCOC)N=C(C3=CC=C([Cs])C4=NSN=C43)C=C2)=C5C(N(C6=NC([Fr])=CC=C6/5)CCCCCOCCOCCOCCOC)=O,-5.02,-2.98,0.91,,83,"['O=C1/C(C2=C(N=C(C=C2)C3=CC=CC4=NSN=C43)N1C)=C5C(N(C)C6=NC=CC=C6/5)=O','O=C1/C(C2=C(N=C(C=C2)C3=CC=CC4=NSN=C43)N1C)=C5C(N(C)C6=NC=CC=C6/5)=O']",https://doi.org/10.1002/adma.202107829
COCCOCCOCCOCCCCCN(C1=C/2SC([Fr])=C1)C(C2=C(C3=C(N4CCCCCOCCOCCOCCOC)C=C(C5=CC=C(C6=NSN=C56)[Cs])S3)\C4=O)=O,-5.9,-4.2,,1.80E-03,0.15,"['CN(C(/C1=C(C2=O)\C3=C(C=C(S3)C4=CC=CC5=NSN=C45)N2C)=O)C6=C1SC=C6','CN(C(/C1=C(C2=O)\C3=C(C=C(S3)C4=CC=CC5=NSN=C45)N2C)=O)C6=C1SC=C6']",https://doi.org/10.1002/adma.202107829
S1C([Cs])=CC2=C1C1=C(C=C(C3=CC(OCCOCCOC)=C(S3)C3=C(OCCOCCOC)C=C([Fr])S3)S1)C2(CCOCCOCCOC)CCOCCOCCOC,-4.3,-2.63,0.66,,94.3,"['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1']",https://doi.org/10.1021/acs.chemmater.1c03797
S1C([Cs])=CC2=C1C1=C(C=C(C3=CC(OCCOC)=C(S3)C3=C(OCCOC)C=C([Fr])S3)S1)C2(CCOCCOCCOC)CCOCCOCCOC,-4.5,-2.82,0.9,,294.1,"['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1']",https://doi.org/10.1021/acs.chemmater.1c03797
S1C([Cs])=CC2=C1C1=C(C=C(C3=CC(OC)=C(S3)C3=C(OC)C=C([Fr])S3)S1)C2(CCOCCOCCOC)CCOCCOCCOC,-4.17,-2.48,3.1,,275.4,"['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1','COC1=CSC(C(S2)=CC(C3(C)C)=C2C4=C3C=CS4)=C1']",https://doi.org/10.1021/acs.chemmater.1c03797
S1C(=CC2=C1C=C([Cs])S2)C1=CC(OCCOCCOCCOC)=C(C2=C(C=C([Fr])S2)OCCOCCOCCOC)S1,-4.55,-2.81,1.91,,304.57,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1039/D1MH01889B
S1C(=CC2=C1C=C([Cs])S2)C1=CC(OCCCOCCCOCCCOC)=C(C2=C(C=C([Fr])S2)OCCCOCCCOCCCOC)S1,-4.53,-2.8,1.9,,198.74,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1039/D1MH01889B
S1C(=CC2=C1C=C([Cs])S2)C1=CC(OCCCCOCCCCOCCCCOC)=C(C2=C(C=C([Fr])S2)OCCCCOCCCCOCCCCOC)S1,-4.53,-2.8,3.41,,354.2,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1039/D1MH01889B
O=C1C2C(C(N(CCOCCOCCOCCOC)C=2C2SC(=CC=2)C2=CC(OCCOCCOC)=C(/C=C/C3=C(C=C([Cs])S3)OCCOCCOC)S2)=O)=C(C2SC([Fr])=CC=2)N1CCOCCOCCOCCOC,-4.44,-3.3,1.17,,217.2,"['COC(C=CS1)=C1C=C','COC(C=CS1)=C1C=C','COC1=CSC(C2=CC=CS2)=C1','O=C1C(C2=CN1C)=C(C3=CC=CS3)N(C)C2=O','O=C1C(C2=CN1C)=C(C3=CC=CS3)N(C)C2=O','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1039/D1TC02994K
O=C1C(C2=C(N1CCOCCOCCOCCOC)C3=CC=C([Fr])S3)=C(C4=CC=C(C5=CC(OCCOCCOC)=C(C(C6=NSN=C67)=CC=C7C8=C(OCCOCCOC)C=C(S8)[Cs])S5)S4)N(CCOCCOCCOCCOC)C2=O,-4.6,-3.37,0.186,,22.2,"['COC(C=CS1)=C1C2=CC=CC3=NSN=C32','COC(C=CS1)=C1C2=CC=CC3=NSN=C32','COC1=CSC(C2=CC=CS2)=C1','O=C1C(C2=CN1C)=C(C3=CC=CS3)N(C)C2=O','O=C1C(C2=CN1C)=C(C3=CC=CS3)N(C)C2=O','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1039/D1TC02994K
C(C(CCCCCCCC)CN1C(C2C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C=2C2=CC=C([Fr])S2)=O)=C1C1=CC=C(C2=CC=C(C3=C4C(C(N3CCOCCOCCOC)=O)=C(C3=CC=C([Cs])S3)N(CCOCCOCCOC)C4=O)S2)S1)=O)CCCCCCCCC,-5.1,-3.8,0.212038304,0.047879617,,"['CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','C1(C2=CC=CS2)=CC=CS1','CN(C(C1=CC=CS1)=C2C3=CN(C2=O)C)C3=O','CN(C(C1=CC=CS1)=C2C3=CN(C2=O)C)C3=O','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1002/adfm.202102903
N1=C2C(C(C3SC([Cs])=CC=3)=C(OCCOCCOCCOC)C(=C2C2=CC=C(C3=C(C(=C([Fr])S3)OCCOCCOCCOC)OCCOCCOCCOC)S2)F)=NS1,-4.61,-2.71,0.089,,15.13,"['COC1=CSC(C2=CC=CS2)=C1OC','COC1=CC2=NSN=C2C(C3=CC=CS3)=C1F','COC1=C(C2=CC=CS2)C3=NSN=C3C=C1F','COC1=CSC(C2=CC=CS2)=C1OC']",https://doi.org/10.1002/anie.202106084
